Id,Restaurant_Name,Cuisines,Price_For_One,Location,Rating,Latitude,Longitude,Delivery_review_number,Urls
R234,Donne Biryani Palace,North Indian,100,"Jayanagar, Bangalore",4.1,12.9263883391,77.5847351423,121.0,https://www.zomato.com/bangalore/donne-biryani-palace-1-jayanagar-bangalore/order
R234,Donne Biryani Palace,Chinese,100,"Jayanagar, Bangalore",4.1,12.9263883391,77.5847351423,121.0,https://www.zomato.com/bangalore/donne-biryani-palace-1-jayanagar-bangalore/order
R235,Kailash Parbat,North Indian,100,"Commercial Street, Bangalore",3.4,12.98257,77.6098,198.0,https://www.zomato.com/bangalore/kailash-parbat-commercial-street-bangalore/order
R235,Kailash Parbat,Street Food,100,"Commercial Street, Bangalore",3.4,12.98257,77.6098,198.0,https://www.zomato.com/bangalore/kailash-parbat-commercial-street-bangalore/order
R235,Kailash Parbat,Beverages,100,"Commercial Street, Bangalore",3.4,12.98257,77.6098,198.0,https://www.zomato.com/bangalore/kailash-parbat-commercial-street-bangalore/order
R236,Dum Biryani Hub,Biryani,100,"BTM, Bangalore",3.5,12.9239923465,77.6125965267,15900.0,https://www.zomato.com/bangalore/dum-biryani-hub-btm-bangalore/order
R236,Dum Biryani Hub,North Indian,100,"BTM, Bangalore",3.5,12.9239923465,77.6125965267,15900.0,https://www.zomato.com/bangalore/dum-biryani-hub-btm-bangalore/order
R236,Dum Biryani Hub,Chinese,100,"BTM, Bangalore",3.5,12.9239923465,77.6125965267,15900.0,https://www.zomato.com/bangalore/dum-biryani-hub-btm-bangalore/order
R236,Dum Biryani Hub,Desserts,100,"BTM, Bangalore",3.5,12.9239923465,77.6125965267,15900.0,https://www.zomato.com/bangalore/dum-biryani-hub-btm-bangalore/order
R236,Dum Biryani Hub,Beverages,100,"BTM, Bangalore",3.5,12.9239923465,77.6125965267,15900.0,https://www.zomato.com/bangalore/dum-biryani-hub-btm-bangalore/order
R236,Dum Biryani Hub,Sichuan,100,"BTM, Bangalore",3.5,12.9239923465,77.6125965267,15900.0,https://www.zomato.com/bangalore/dum-biryani-hub-btm-bangalore/order
