Name,Price_For_One,Cuisines,Rating,Urls
Sandwich Guru,₹50 for one,"Sandwich, Fast Food, Beverages, Shake",4,https://www.zomato.com/bangalore/sandwich-guru-basavanagudi-bangalore/order
Laddoos,₹50 for one,"Mithai, North Indian, Street Food",3.8,https://www.zomato.com/bangalore/laddoos-jeevan-bhima-nagar/order
M.M.A Kabab and Rolls,₹50 for one,"North Indian, Mughlai, Chinese, Kebab, Rolls, Seafood, Arabian, Biryani",3.6,https://www.zomato.com/bangalore/m-m-a-kabab-and-rolls-old-madras-road-bangalore/order
Chaat Street,₹50 for one,"Street Food, Fast Food, North Indian, Beverages",4,https://www.zomato.com/bangalore/chaat-street-koramangala-4th-block-bangalore/order
The Bake Feast,₹50 for one,"Bakery, Desserts",4.1,https://www.zomato.com/bangalore/the-bake-feast-indiranagar-bangalore/order
Kolkata Famous Kati Rolls,₹50 for one,Rolls,3.9,https://www.zomato.com/bangalore/kolkata-famous-kati-rolls-rajajinagar-bangalore/order
Bangarpet Chats,₹50 for one,Street Food,4,https://www.zomato.com/bangalore/bangarpet-chats-kalyan-nagar-bangalore/order
Biryani By Kilo,₹50 for one,"Biryani, Hyderabadi, North Indian, Kebab, Mughlai, Desserts",3.6,https://www.zomato.com/bangalore/biryani-by-kilo-majestic-bangalore/order
Shree Mahalakshmi Sweets,₹50 for one,"Mithai, Street Food",4,https://www.zomato.com/bangalore/shree-mahalakshmi-sweets-2-basavanagudi-bangalore/order
Five Star New Ambur Biryani,₹50 for one,"Biryani, Fast Food, South Indian",3.4,https://www.zomato.com/bangalore/five-star-new-ambur-biryani-btm-bangalore/order
Zomoz - The Momo Company,₹200 for one,"Momos, Fast Food",4.2,https://www.zomato.com/bangalore/zomoz-the-momo-company-indiranagar-bangalore/order
Razakhiya Hotel,₹200 for one,"Rolls, Chinese, North Indian, Seafood, Biryani, Sichuan",4,https://www.zomato.com/bangalore/razakhiya-hotel-hbr-layout-bangalore/order
Priyadarshini Grand,₹200 for one,"South Indian, Street Food, Ice Cream, Desserts, Beverages, Shake",4.3,https://www.zomato.com/bangalore/priyadarshini-grand-basaveshwara-nagar/order
Donne Biryani House,₹200 for one,"Biryani, South Indian",4,https://www.zomato.com/bangalore/donne-biryani-house-malleshwaram/order
Sangam Sweets,₹200 for one,"Mithai, Street Food, Fast Food",4.3,https://www.zomato.com/bangalore/sangam-sweets-majestic/order
New Shanthi Sagar,₹200 for one,"North Indian, Street Food, Fast Food, South Indian, Chinese, Ice Cream, Shake",4.1,https://www.zomato.com/bangalore/new-shanthi-sagar-rajajinagar-bangalore/order
Hyderabad Biryaani House,₹200 for one,"Biryani, North Indian, Hyderabadi, Mughlai, Chinese",4,https://www.zomato.com/bangalore/hyderabad-biryaani-house-1-richmond-road-bangalore/order
Rolls Kitchen,₹200 for one,"Fast Food, Rolls, Beverages, Chinese",4.1,https://www.zomato.com/bangalore/rolls-kitchen-rajajinagar/order
Chetty's Corner,₹200 for one,"Fast Food, Sandwich, Pizza, Burger, Street Food, Beverages",4.1,https://www.zomato.com/chettyscorner/order
Potful - Claypot Biryanis,₹200 for one,"Biryani, Kebab, Mughlai, North Indian, Desserts",4.2,https://www.zomato.com/bangalore/potful-claypot-biryanis-thippasandra-bangalore/order
Third Wave Coffee,₹200 for one,"Cafe, Beverages, Desserts, Coffee, Tea, Pizza, Fast Food",3.4,https://www.zomato.com/bangalore/third-wave-coffee-lavelle-road-bangalore/order
